,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
131,600519.SH,20230921,1818.01,1822.0,1798.39,1798.39,1824.0,-25.61,-1.4041,19489.19,3521486.755
132,300750.SZ,20230920,213.0,213.33,208.68,209.9,212.32,-2.42,-1.1398,130874.85,2750166.643
133,600519.SH,20230920,1822.0,1830.0,1818.05,1824.0,1826.94,-2.94,-0.1609,12501.78,2281583.949
134,300750.SZ,20230919,213.06,213.48,210.6,212.32,213.06,-0.74,-0.3473,150243.95,3183848.137
135,600519.SH,20230919,1822.2,1829.0,1808.0,1826.94,1829.2,-2.26,-0.1236,14989.5,2727858.953
136,300750.SZ,20230918,206.0,214.69,206.0,213.06,207.76,5.3,2.551,265934.85,5645065.103
137,600519.SH,20230918,1776.31,1829.5,1773.0,1829.2,1781.99,47.21,2.6493,32558.92,5905121.0
138,300750.SZ,20230915,212.0,214.0,206.6,207.76,214.93,-7.17,-3.336,336799.92,7033151.411
139,600519.SH,20230915,1819.0,1819.78,1781.3,1781.99,1818.69,-36.7,-2.0179,28431.46,5105749.077
140,300750.SZ,20230914,213.68,216.3,213.03,214.93,216.6,-1.67,-0.771,182941.04,3919045.406
141,600519.SH,20230914,1822.53,1826.98,1806.0,1818.69,1819.91,-1.22,-0.067,17504.59,3180447.848
142,300750.SZ,20230913,217.0,219.15,215.03,216.6,217.93,-1.33,-0.6103,151356.93,3278699.755
143,600519.SH,20230913,1829.92,1829.92,1800.05,1819.91,1819.96,-0.05,-0.0027,19501.43,3540583.633
144,300750.SZ,20230912,222.0,222.41,217.54,217.93,221.53,-3.6,-1.6251,182312.09,3994776.422
145,600519.SH,20230912,1826.6,1826.98,1816.02,1819.96,1822.17,-2.21,-0.1213,12168.01,2214514.112
146,300750.SZ,20230911,222.9,223.55,219.68,221.53,222.94,-1.41,-0.6325,170608.97,3774798.959
147,600519.SH,20230911,1808.0,1840.0,1808.0,1822.17,1818.5,3.67,0.2018,15926.0,2902617.736
148,300750.SZ,20230908,225.0,227.2,220.5,222.94,226.51,-3.57,-1.5761,164994.43,3670618.815
149,600519.SH,20230908,1834.94,1834.94,1814.95,1818.5,1838.0,-19.5,-1.0609,12211.78,2224338.144
